"","id_household","hpersons","livestock","income","crop","HDDS_good","HDDS_bad","PPI","OFS","rank_size","HFIAP.Rank","Education.Rank","Access","LandOwned"
"1879",64046,4,2,"3",4,3,1,22,6,4,4,1,317,3
"1881",64136,7,1,"2",2,8,7,28,3,5,4,1,340,16
"1894",64352,7,1,"2",3,2,3,11,3,3,4,1,239,9
"1916",64910,6,1,"5",5,5,3,62,4,4,4,2,233,6
"1921",65162,5,1,"2",3,10,9,54,5,3,3,2,168,10
"1934",65441,3,1,"5",5,6,6,86,4,5,3,4,218,16
"1949",66620,11,2,"3",4,3,2,24,5,5,4,1,279,18
"1951",67025,7,3,"4",5,6,3,37,6,5,3,2,282,6
"1958",67133,4,2,"3",3,8,7,40,4,6,3,3,358,30
"1981",68033,11,1,"1",6,8,6,20,5,6,3,2,269,74
"1984",68105,5,2,"4",4,6,3,31,6,6,4,1,286,10
"1994",68600,9,1,"5",2,6,3,11,3,4,4,1,257,1
"1996",69113,6,0,"2",2,1,0,23,1,3,4,1,257,10
"2003",70058,6,1,"3",3,10,9,40,2,5,3,1,161,1
"2009",70247,4,1,"4",3,9,10,40,4,3,4,1,161,5
"2030",70832,2,0,"5",1,3,3,43,0,2,4,1,163,3
"2035",71048,7,0,"4",2,3,4,24,4,2,4,2,190,2
"2098",72407,9,0,"5",2,3,3,11,0,1,4,1,215,1
"2103",72632,9,1,"4",3,7,3,11,5,5,2,1,293,24
"2153",74144,3,0,"3",2,6,4,28,2,1,4,1,162,0.5
"2158",74405,10,0,"5",1,2,2,21,3,1,3,1,162,0.5
"2185",75251,7,1,"4",2,7,4,23,4,1,4,1,173,0.5
"2208",76241,3,1,"4",2,6,5,65,3,4,3,3,254,7
"2234",99017,7,1,"2",2,9,9,28,5,5,3,2,207,10
"2254",99038,7,2,"4",3,8,4,21,4,6,3,1,369,6
"2257",99041,8,1,"3",5,7,7,21,2,4,3,1,369,3
"2264",99049,5,1,"4",5,8,5,54,5,4,3,2,148,11
